Ensembl Gene ID	Description	MGI symbol
ENSMUSG00000078940	WAP four-disulfide core domain 11 [Source:MGI Symbol;Acc:MGI:3651686]	Wfdc11
ENSMUSG00000058079	olfactory receptor 605 [Source:MGI Symbol;Acc:MGI:3030439]	Olfr605
ENSMUSG00000001632	bromodomain and PHD finger containing, 1 [Source:MGI Symbol;Acc:MGI:1926033]	Brpf1
ENSMUSG00000048058	low density lipoprotein receptor class A domain containing 3 [Source:MGI Symbol;Acc:MGI:2138856]	Ldlrad3
ENSMUSG00000028189	chitobiase, di-N-acetyl- [Source:MGI Symbol;Acc:MGI:1921495]	Ctbs
ENSMUSG00000073949	olfactory receptor 606 [Source:MGI Symbol;Acc:MGI:3030440]	Olfr606
ENSMUSG00000048371	pyruvate dehyrogenase phosphatase catalytic subunit 2 [Source:MGI Symbol;Acc:MGI:1918878]	Pdp2
ENSMUSG00000087321	predicted gene 5353 [Source:MGI Symbol;Acc:MGI:3643866]	Gm5353
ENSMUSG00000042402	olfactory receptor 607 [Source:MGI Symbol;Acc:MGI:3030441]	Olfr607
ENSMUSG00000085622	RIKEN cDNA 3110056K07 gene [Source:MGI Symbol;Acc:MGI:1920454]	3110056K07Rik
ENSMUSG00000054280	proline rich 14-like [Source:MGI Symbol;Acc:MGI:2443658]	Prr14l
ENSMUSG00000059910	olfactory receptor 1265 [Source:MGI Symbol;Acc:MGI:3031099]	Olfr1265
ENSMUSG00000073948	olfactory receptor 608 [Source:MGI Symbol;Acc:MGI:3030442]	Olfr608
ENSMUSG00000092620	predicted gene, 18201 [Source:MGI Symbol;Acc:MGI:5010386]	Gm18201
ENSMUSG00000067704	WAP four-disulfide core domain 13 [Source:MGI Symbol;Acc:MGI:3582777]	Wfdc13
ENSMUSG00000062859	t-complex protein 11 [Source:MGI Symbol;Acc:MGI:98544]	Tcp11
ENSMUSG00000080759	predicted gene 15573 [Source:MGI Symbol;Acc:MGI:3783021]	Gm15573
ENSMUSG00000019235	ribosomal protein S6 kinase-like 1 [Source:MGI Symbol;Acc:MGI:2443413]	Rps6kl1
ENSMUSG00000087670	RIKEN cDNA 9530036M11 gene [Source:MGI Symbol;Acc:MGI:1925866]	9530036M11Rik
ENSMUSG00000046396	olfactory receptor 609 [Source:MGI Symbol;Acc:MGI:3030443]	Olfr609
ENSMUSG00000092280	predicted gene 20411 [Source:MGI Symbol;Acc:MGI:5141876]	Gm20411
ENSMUSG00000092548	vomeronasal 2, receptor, pseudogene 41 [Source:MGI Symbol;Acc:MGI:3757868]	Vmn2r-ps41
ENSMUSG00000014813	stanniocalcin 1 [Source:MGI Symbol;Acc:MGI:109131]	Stc1
ENSMUSG00000075068	olfactory receptor 140 [Source:MGI Symbol;Acc:MGI:2177523]	Olfr140
ENSMUSG00000086451	RIKEN cDNA 4933431K23 gene [Source:MGI Symbol;Acc:MGI:1921725]	4933431K23Rik
ENSMUSG00000030604	zinc finger protein 626 [Source:MGI Symbol;Acc:MGI:1918413]	Zfp626
ENSMUSG00000045584	olfactory receptor 610 [Source:MGI Symbol;Acc:MGI:3030444]	Olfr610
ENSMUSG00000080205	predicted gene 15526 [Source:MGI Symbol;Acc:MGI:3782973]	Gm15526
ENSMUSG00000031881	cadherin 16 [Source:MGI Symbol;Acc:MGI:106671]	Cdh16
ENSMUSG00000026482	ral guanine nucleotide dissociation stimulator,-like 1 [Source:MGI Symbol;Acc:MGI:107484]	Rgl1
ENSMUSG00000092561	predicted gene 4011 [Source:MGI Symbol;Acc:MGI:3782185]	Gm4011
ENSMUSG00000086946	predicted gene 15527 [Source:MGI Symbol;Acc:MGI:3782974]	Gm15527
ENSMUSG00000078779	zinc finger protein 59 [Source:MGI Symbol;Acc:MGI:99206]	Zfp59
ENSMUSG00000078179	ring finger protein 148 [Source:MGI Symbol;Acc:MGI:1918550]	Rnf148
ENSMUSG00000053499	predicted gene 5444 [Source:MGI Symbol;Acc:MGI:3644242]	Gm5444
ENSMUSG00000018865	sulfotransferase family 4A, member 1 [Source:MGI Symbol;Acc:MGI:1888971]	Sult4a1
ENSMUSG00000085733	predicted gene 11641 [Source:MGI Symbol;Acc:MGI:3705097]	Gm11641
ENSMUSG00000096584	olfactory receptor 611 [Source:MGI Symbol;Acc:MGI:3030445]	Olfr611
ENSMUSG00000096372	predicted gene 8138 [Source:MGI Symbol;Acc:MGI:3647466]	Gm8138
ENSMUSG00000075067	olfactory receptor 1269 [Source:MGI Symbol;Acc:MGI:3031103]	Olfr1269
ENSMUSG00000055148	Kruppel-like factor 2 (lung) [Source:MGI Symbol;Acc:MGI:1342772]	Klf2
ENSMUSG00000020420	zinc finger proten 607 [Source:MGI Symbol;Acc:MGI:3584526]	Zfp607
ENSMUSG00000079620	mucin 4 [Source:MGI Symbol;Acc:MGI:2153525]	Muc4
ENSMUSG00000092308	predicted gene 3623 [Source:MGI Symbol;Acc:MGI:3781799]	Gm3623
ENSMUSG00000000078	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]	Klf6
ENSMUSG00000094119	olfactory receptor 612 [Source:MGI Symbol;Acc:MGI:3030446]	Olfr612
ENSMUSG00000027489	N-terminal EF-hand calcium binding protein 3 [Source:MGI Symbol;Acc:MGI:1861721]	Necab3
ENSMUSG00000075066	olfactory receptor 32 [Source:MGI Symbol;Acc:MGI:109303]	Olfr32
ENSMUSG00000043865	taste receptor, type 2, member 118 [Source:MGI Symbol;Acc:MGI:2681247]	Tas2r118
ENSMUSG00000081676	predicted gene 11643 [Source:MGI Symbol;Acc:MGI:3652126]	Gm11643
ENSMUSG00000017310	serine protease inhibitor, Kunitz type 4 [Source:MGI Symbol;Acc:MGI:1925489]	Spint4
ENSMUSG00000005054	cystatin B [Source:MGI Symbol;Acc:MGI:109514]	Cstb
ENSMUSG00000024913	low density lipoprotein receptor-related protein 5 [Source:MGI Symbol;Acc:MGI:1278315]	Lrp5
ENSMUSG00000085154	RIKEN cDNA C130046K22 gene [Source:MGI Symbol;Acc:MGI:3026935]	C130046K22Rik
ENSMUSG00000096413	predicted gene 3616 [Source:MGI Symbol;Acc:MGI:3781792]	Gm3616
ENSMUSG00000078624	olfactory receptor 613 [Source:MGI Symbol;Acc:MGI:3030447]	Olfr613
ENSMUSG00000036371	serpine1 mRNA binding protein 1 [Source:MGI Symbol;Acc:MGI:1914120]	Serbp1
ENSMUSG00000036501	family with sequence similarity 13, member B [Source:MGI Symbol;Acc:MGI:2447834]	Fam13b
ENSMUSG00000015932	destrin [Source:MGI Symbol;Acc:MGI:1929270]	Dstn
ENSMUSG00000063065	mitogen-activated protein kinase 3 [Source:MGI Symbol;Acc:MGI:1346859]	Mapk3
ENSMUSG00000048482	brain derived neurotrophic factor [Source:MGI Symbol;Acc:MGI:88145]	Bdnf
ENSMUSG00000073947	olfactory receptor 615 [Source:MGI Symbol;Acc:MGI:3030449]	Olfr615
ENSMUSG00000041115	IQ motif and Sec7 domain 2 [Source:MGI Symbol;Acc:MGI:3528396]	Iqsec2
ENSMUSG00000092551	predicted gene, 20287 [Source:MGI Symbol;Acc:MGI:5012472]	Gm20287
ENSMUSG00000053025	synaptic vesicle glycoprotein 2 b [Source:MGI Symbol;Acc:MGI:1927338]	Sv2b
ENSMUSG00000032346	oocyte expressed protein [Source:MGI Symbol;Acc:MGI:1915218]	Ooep
ENSMUSG00000029700	solute carrier family 13 (sodium/sulfate symporters), member 1 [Source:MGI Symbol;Acc:MGI:1859937]	Slc13a1
ENSMUSG00000047544	olfactory receptor 616 [Source:MGI Symbol;Acc:MGI:3030450]	Olfr616
ENSMUSG00000014453	B lymphoid kinase [Source:MGI Symbol;Acc:MGI:88169]	Blk
ENSMUSG00000028188	spermatogenesis associated 1 [Source:MGI Symbol;Acc:MGI:1918201]	Spata1
ENSMUSG00000032788	pyridoxal (pyridoxine, vitamin B6) kinase [Source:MGI Symbol;Acc:MGI:1351869]	Pdxk
ENSMUSG00000030402	protein phosphatase, Mg2+/Mn2+ dependent, 1N (putative) [Source:MGI Symbol;Acc:MGI:2142330]	Ppm1n
ENSMUSG00000086781	RIKEN cDNA 1700092C02 gene [Source:MGI Symbol;Acc:MGI:1914607]	1700092C02Rik
ENSMUSG00000068290	DDRGK domain containing 1 [Source:MGI Symbol;Acc:MGI:1924256]	Ddrgk1
ENSMUSG00000058056	palladin, cytoskeletal associated protein [Source:MGI Symbol;Acc:MGI:1919583]	Palld
ENSMUSG00000046380	jerky [Source:MGI Symbol;Acc:MGI:106214]	Jrk
ENSMUSG00000073067	RIKEN cDNA 9130019P16 gene [Source:MGI Symbol;Acc:MGI:1918824]	9130019P16Rik
ENSMUSG00000094624	predicted gene 4836 [Source:MGI Symbol;Acc:MGI:3809202]	Gm4836
ENSMUSG00000019558	solute carrier family 6 (neurotransmitter transporter, creatine), member 8 [Source:MGI Symbol;Acc:MGI:2147834]	Slc6a8
ENSMUSG00000031443	coagulation factor VII [Source:MGI Symbol;Acc:MGI:109325]	F7
ENSMUSG00000074593	serine protease inhibitor, Kunitz type 5 [Source:MGI Symbol;Acc:MGI:3651687]	Spint5
ENSMUSG00000079049	serine (or cysteine) peptidase inhibitor, clade B, member 1c [Source:MGI Symbol;Acc:MGI:2445363]	Serpinb1c
ENSMUSG00000021193	pitrilysin metallepetidase 1 [Source:MGI Symbol;Acc:MGI:1916867]	Pitrm1
ENSMUSG00000074825	inositol 1,4,5-triphosphate receptor interacting protein-like 1 [Source:MGI Symbol;Acc:MGI:1920588]	Itpripl1
ENSMUSG00000087109	RIKEN cDNA 4930474H06 gene [Source:MGI Symbol;Acc:MGI:3697432]	4930474H06Rik
ENSMUSG00000069986	predicted pseudogene 8054 [Source:MGI Symbol;Acc:MGI:3643693]	Gm8054
ENSMUSG00000097975		
ENSMUSG00000030401	reticulon 2 (Z-band associated protein) [Source:MGI Symbol;Acc:MGI:107612]	Rtn2
ENSMUSG00000044276	RIKEN cDNA 4933427E11 gene [Source:MGI Symbol;Acc:MGI:1914019]	4933427E11Rik
ENSMUSG00000098224		
ENSMUSG00000091703	predicted gene 4222 [Source:MGI Symbol;Acc:MGI:3782398]	Gm4222
ENSMUSG00000022598	prostate stem cell antigen [Source:MGI Symbol;Acc:MGI:1919623]	Psca
ENSMUSG00000076434	WAP four-disulfide core domain 3 [Source:MGI Symbol;Acc:MGI:1923897]	Wfdc3
ENSMUSG00000097010		
ENSMUSG00000020401	family with sequence similarity 71, member B [Source:MGI Symbol;Acc:MGI:3650836]	Fam71b
ENSMUSG00000075065	olfactory receptor 1270 [Source:MGI Symbol;Acc:MGI:3031104]	Olfr1270
ENSMUSG00000070709	RIKEN cDNA 1700049G17 gene [Source:MGI Symbol;Acc:MGI:1920680]	1700049G17Rik
ENSMUSG00000021765	follistatin [Source:MGI Symbol;Acc:MGI:95586]	Fst
ENSMUSG00000055436	serine/arginine-rich splicing factor 11 [Source:MGI Symbol;Acc:MGI:1916457]	Srsf11
ENSMUSG00000075064	olfactory receptor 1506 [Source:MGI Symbol;Acc:MGI:3031340]	Olfr1506
ENSMUSG00000018868	patatin-like phospholipase domain containing 5 [Source:MGI Symbol;Acc:MGI:1923022]	Pnpla5
ENSMUSG00000005899	sphingomyelin phosphodiesterase 4 [Source:MGI Symbol;Acc:MGI:1924876]	Smpd4
ENSMUSG00000021474	sideroflexin 1 [Source:MGI Symbol;Acc:MGI:2137677]	Sfxn1
ENSMUSG00000027445	cystatin 9 [Source:MGI Symbol;Acc:MGI:1340053]	Cst9
ENSMUSG00000004791	placental growth factor [Source:MGI Symbol;Acc:MGI:105095]	Pgf
ENSMUSG00000035095	family with sequence similarity 167, member A [Source:MGI Symbol;Acc:MGI:3606565]	Fam167a
ENSMUSG00000027422	ribosome binding protein 1 [Source:MGI Symbol;Acc:MGI:1932395]	Rrbp1
ENSMUSG00000024065	EH-domain containing 3 [Source:MGI Symbol;Acc:MGI:1928900]	Ehd3
ENSMUSG00000025188	Hermansky-Pudlak syndrome 1 homolog (human) [Source:MGI Symbol;Acc:MGI:2177763]	Hps1
ENSMUSG00000043085	transmembrane protein 82 [Source:MGI Symbol;Acc:MGI:2384869]	Tmem82
ENSMUSG00000015312	growth arrest and DNA-damage-inducible 45 beta [Source:MGI Symbol;Acc:MGI:107776]	Gadd45b
ENSMUSG00000074637	SRY-box containing gene 2 [Source:MGI Symbol;Acc:MGI:98364]	Sox2
ENSMUSG00000030703	glycerophosphodiester phosphodiesterase domain containing 3 [Source:MGI Symbol;Acc:MGI:1915866]	Gdpd3
ENSMUSG00000053746	peptidyl-tRNA hydrolase 1 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1913779]	Ptrh1
ENSMUSG00000020397	mediator complex subunit 7 [Source:MGI Symbol;Acc:MGI:1913463]	Med7
ENSMUSG00000094594	tumor protein D52, pseudogene [Source:MGI Symbol;Acc:MGI:107737]	Tpd52-ps
ENSMUSG00000086794	predicted gene 11642 [Source:MGI Symbol;Acc:MGI:3651889]	Gm11642
ENSMUSG00000098101		
ENSMUSG00000092540	predicted gene 8738 [Source:MGI Symbol;Acc:MGI:3644778]	Gm8738
ENSMUSG00000006276	epidermal growth factor receptor pathway substrate 15-like 1 [Source:MGI Symbol;Acc:MGI:104582]	Eps15l1
ENSMUSG00000085134	predicted gene 11659 [Source:MGI Symbol;Acc:MGI:3649220]	Gm11659
ENSMUSG00000082491	predicted gene 5909 [Source:MGI Symbol;Acc:MGI:3646686]	Gm5909
ENSMUSG00000092345	predicted gene 20503 [Source:MGI Symbol;Acc:MGI:5141968]	Gm20503
ENSMUSG00000027446	RIKEN cDNA 9230104L09 gene [Source:MGI Symbol;Acc:MGI:1924955]	9230104L09Rik
ENSMUSG00000012282	wingless-related MMTV integration site 8A [Source:MGI Symbol;Acc:MGI:107924]	Wnt8a
ENSMUSG00000056665	thioesterase superfamily member 6 [Source:MGI Symbol;Acc:MGI:1925301]	Them6
ENSMUSG00000096963	RIKEN cDNA B230364G03 gene [Source:MGI Symbol;Acc:MGI:3704350]	B230364G03Rik
ENSMUSG00000075063	olfactory receptor 142 [Source:MGI Symbol;Acc:MGI:2177525]	Olfr142
ENSMUSG00000058250	taste receptor, type 2, member 138 [Source:MGI Symbol;Acc:MGI:2681306]	Tas2r138
ENSMUSG00000096655	RIKEN cDNA 1700065D16 gene [Source:MGI Symbol;Acc:MGI:1920660]	1700065D16Rik
ENSMUSG00000019865	neuromedin B receptor [Source:MGI Symbol;Acc:MGI:1100525]	Nmbr
ENSMUSG00000022596	secreted Ly6/Plaur domain containing 1 [Source:MGI Symbol;Acc:MGI:1930923]	Slurp1
ENSMUSG00000087700	predicted gene 15283 [Source:MGI Symbol;Acc:MGI:3705161]	Gm15283
ENSMUSG00000092520	predicted gene 3611 [Source:MGI Symbol;Acc:MGI:3781787]	Gm3611
ENSMUSG00000050901	melatonin receptor 1B [Source:MGI Symbol;Acc:MGI:2181726]	Mtnr1b
ENSMUSG00000048240	guanine nucleotide binding protein (G protein), gamma 7 [Source:MGI Symbol;Acc:MGI:95787]	Gng7
ENSMUSG00000055323	predicted gene 9967 [Source:MGI Symbol;Acc:MGI:3704300]	Gm9967
ENSMUSG00000020183	carboxypeptidase M [Source:MGI Symbol;Acc:MGI:1917824]	Cpm
ENSMUSG00000094809	predicted gene 20435 [Source:MGI Symbol;Acc:MGI:5141900]	Gm20435
ENSMUSG00000003545	FBJ osteosarcoma oncogene B [Source:MGI Symbol;Acc:MGI:95575]	Fosb
ENSMUSG00000039910	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2 [Source:MGI Symbol;Acc:MGI:1306784]	Cited2
ENSMUSG00000090352	predicted gene 3972 [Source:MGI Symbol;Acc:MGI:3782146]	Gm3972
ENSMUSG00000031444	coagulation factor X [Source:MGI Symbol;Acc:MGI:103107]	F10
ENSMUSG00000066457	predicted gene 5068 [Source:MGI Symbol;Acc:MGI:3645720]	Gm5068
ENSMUSG00000063047	zinc finger protein 780B [Source:MGI Symbol;Acc:MGI:2444764]	Zfp780b
ENSMUSG00000031880	Ras-related associated with diabetes [Source:MGI Symbol;Acc:MGI:1930943]	Rrad
ENSMUSG00000035297	COP9 (constitutive photomorphogenic) homolog, subunit 4 (Arabidopsis thaliana) [Source:MGI Symbol;Acc:MGI:1349414]	Cops4
ENSMUSG00000038677	signal peptide, CUB domain, EGF-like 3 [Source:MGI Symbol;Acc:MGI:3045253]	Scube3
ENSMUSG00000046580	predicted gene 7862 [Source:MGI Symbol;Acc:MGI:3648002]	Gm7862
ENSMUSG00000035638	mucin 20 [Source:MGI Symbol;Acc:MGI:2385039]	Muc20
ENSMUSG00000068587	maltase-glucoamylase [Source:MGI Symbol;Acc:MGI:1203495]	Mgam
ENSMUSG00000074608	zinc finger protein 850 [Source:MGI Symbol;Acc:MGI:3036281]	Gm4636
ENSMUSG00000041698	solute carrier organic anion transporter family, member 1a1 [Source:MGI Symbol;Acc:MGI:1351891]	Slco1a1
ENSMUSG00000075062	olfactory receptor 1271 [Source:MGI Symbol;Acc:MGI:3031105]	Olfr1271
ENSMUSG00000034987	histamine receptor H2 [Source:MGI Symbol;Acc:MGI:108482]	Hrh2
ENSMUSG00000092584	predicted gene, 18199 [Source:MGI Symbol;Acc:MGI:5010384]	Gm18199
ENSMUSG00000091534	predicted gene 17195 [Source:MGI Symbol;Acc:MGI:4938022]	Gm17195
ENSMUSG00000044186	NK2 transcription factor related, locus 6 (Drosophila) [Source:MGI Symbol;Acc:MGI:97351]	Nkx2-6
ENSMUSG00000004788	eukaryotic translation initiation factor 2B, subunit 2 beta [Source:MGI Symbol;Acc:MGI:2145118]	Eif2b2
ENSMUSG00000091507	predicted gene 17194 [Source:MGI Symbol;Acc:MGI:4938021]	Gm17194
ENSMUSG00000091477	predicted gene 5799 [Source:MGI Symbol;Acc:MGI:3646715]	Gm5799
ENSMUSG00000028099	polymerase (RNA) III (DNA directed) polypeptide C [Source:MGI Symbol;Acc:MGI:1921664]	Polr3c
ENSMUSG00000044062	RIKEN cDNA 0610009B14 gene [Source:MGI Symbol;Acc:MGI:1915604]	0610009B14Rik
ENSMUSG00000096293	predicted gene 3683 [Source:MGI Symbol;Acc:MGI:3781859]	Gm3683
ENSMUSG00000075061	olfactory receptor 1272 [Source:MGI Symbol;Acc:MGI:3031106]	Olfr1272
ENSMUSG00000096916	zinc finger protein 850 [Source:MGI Symbol;Acc:MGI:3036281]	Gm4636
ENSMUSG00000029003	MAD2 mitotic arrest deficient-like 2 [Source:MGI Symbol;Acc:MGI:1919140]	Mad2l2
ENSMUSG00000034282	envoplakin [Source:MGI Symbol;Acc:MGI:107507]	Evpl
ENSMUSG00000042675	yippee-like 3 (Drosophila) [Source:MGI Symbol;Acc:MGI:1913340]	Ypel3
ENSMUSG00000095743	predicted gene, 17654 [Source:MGI Symbol;Acc:MGI:4937288]	Gm17654
ENSMUSG00000084379	predicted gene 12957 [Source:MGI Symbol;Acc:MGI:3649304]	Gm12957
ENSMUSG00000024066	xanthine dehydrogenase [Source:MGI Symbol;Acc:MGI:98973]	Xdh
ENSMUSG00000027447	cystatin C [Source:MGI Symbol;Acc:MGI:102519]	Cst3
ENSMUSG00000081678	predicted gene 12959 [Source:MGI Symbol;Acc:MGI:3649444]	Gm12959
ENSMUSG00000093519	predicted gene, 20345 [Source:MGI Symbol;Acc:MGI:5012530]	Gm20345
ENSMUSG00000084929	RIKEN cDNA 4732418A04 gene [Source:MGI Symbol;Acc:MGI:3028036]	4732418A04Rik
ENSMUSG00000041653	patatin-like phospholipase domain containing 3 [Source:MGI Symbol;Acc:MGI:2151796]	Pnpla3
ENSMUSG00000019027	dynein, axonemal, heavy chain 1 [Source:MGI Symbol;Acc:MGI:107721]	Dnahc1
ENSMUSG00000035984	NME/NM23 family member 5 [Source:MGI Symbol;Acc:MGI:1922783]	Nme5
ENSMUSG00000095528	predicted gene 10375 [Source:MGI Symbol;Acc:MGI:3704433]	Gm10375
ENSMUSG00000094280	vomeronasal 2, receptor, pseudogene 51 [Source:MGI Symbol;Acc:MGI:3757931]	Vmn2r-ps51
ENSMUSG00000086187	predicted gene 12860 [Source:MGI Symbol;Acc:MGI:3651651]	Gm12860
ENSMUSG00000037400	ATPase, class VI, type 11B [Source:MGI Symbol;Acc:MGI:1923545]	Atp11b
ENSMUSG00000066406	A kinase (PRKA) anchor protein 13 [Source:MGI Symbol;Acc:MGI:2676556]	Akap13
ENSMUSG00000003549	excision repair cross-complementing rodent repair deficiency, complementation group 1 [Source:MGI Symbol;Acc:MGI:95412]	Ercc1
ENSMUSG00000021953	L-threonine dehydrogenase [Source:MGI Symbol;Acc:MGI:1926231]	Tdh
ENSMUSG00000030061	ubiquitin-like modifier activating enzyme 3 [Source:MGI Symbol;Acc:MGI:1341217]	Uba3
ENSMUSG00000023052	neuropeptide FF-amide peptide precursor [Source:MGI Symbol;Acc:MGI:1891708]	Npff
ENSMUSG00000096750	predicted gene 11757 [Source:MGI Symbol;Acc:MGI:3702097]	Gm11757
ENSMUSG00000098128		
ENSMUSG00000089984	F-box protein 24 [Source:MGI Symbol;Acc:MGI:1918426]	Fbxo24
ENSMUSG00000026027	STE20-related kinase adaptor beta [Source:MGI Symbol;Acc:MGI:2144047]	Stradb
ENSMUSG00000096457	predicted gene 10147 [Source:MGI Symbol;Acc:MGI:3710518]	Gm10147
ENSMUSG00000094430	predicted gene 933 [Source:MGI Symbol;Acc:MGI:2685779]	Gm933
ENSMUSG00000067224	predicted gene 3695 [Source:MGI Symbol;Acc:MGI:3781871]	Gm3695
ENSMUSG00000022146	oncostatin M receptor [Source:MGI Symbol;Acc:MGI:1330819]	Osmr
ENSMUSG00000093968	predicted gene 8165 [Source:MGI Symbol;Acc:MGI:3648126]	Gm8165
ENSMUSG00000071584	activating transcription factor 7 [Source:MGI Symbol;Acc:MGI:2443472]	Atf7
ENSMUSG00000033703	fucokinase [Source:MGI Symbol;Acc:MGI:1916071]	Fuk
ENSMUSG00000085230	predicted gene 16013 [Source:MGI Symbol;Acc:MGI:3801787]	Gm16013
ENSMUSG00000022437	sorting and assembly machinery component 50 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1915903]	Samm50
ENSMUSG00000050836	netrin G1 [Source:MGI Symbol;Acc:MGI:1934028]	Ntng1
ENSMUSG00000035873	PRKC, apoptosis, WT1, regulator [Source:MGI Symbol;Acc:MGI:2149961]	Pawr
ENSMUSG00000049300	protein arginine N-methyltransferase 6 [Source:MGI Symbol;Acc:MGI:2139971]	Prmt6
ENSMUSG00000083782	predicted gene 11660 [Source:MGI Symbol;Acc:MGI:3652136]	Gm11660
ENSMUSG00000052414	activating transcription factor 7 [Source:MGI Symbol;Acc:MGI:2443472]	Atf7
ENSMUSG00000086222	predicted gene 11665 [Source:MGI Symbol;Acc:MGI:3650128]	Gm11665
ENSMUSG00000032534	centrosomal protein 63 [Source:MGI Symbol;Acc:MGI:2158560]	Cep63
ENSMUSG00000086932	predicted gene 22000 [Source:MGI Symbol;Acc:MGI:5440235]	Gm22000
ENSMUSG00000028696	IAP promoted placental gene [Source:MGI Symbol;Acc:MGI:96581]	Ipp
ENSMUSG00000032185	coactivator-associated arginine methyltransferase 1 [Source:MGI Symbol;Acc:MGI:1913208]	Carm1
ENSMUSG00000022595	Ly6/Plaur domain containing 2 [Source:MGI Symbol;Acc:MGI:1915561]	Lypd2
ENSMUSG00000039891	taxilin beta [Source:MGI Symbol;Acc:MGI:2671945]	Txlnb
ENSMUSG00000019539	reticulocalbin 3, EF-hand calcium binding domain [Source:MGI Symbol;Acc:MGI:1277122]	Rcn3
ENSMUSG00000029089	PARK2 co-regulated-like [Source:MGI Symbol;Acc:MGI:1914018]	Pacrgl
ENSMUSG00000074268	amylase 2a5 [Source:MGI Symbol;Acc:MGI:88020]	Amy2a5
ENSMUSG00000075605	RIKEN cDNA 2300005B03 gene [Source:MGI Symbol;Acc:MGI:1916712]	2300005B03Rik
ENSMUSG00000023120	predicted gene 853 [Source:MGI Symbol;Acc:MGI:2685699]	Gm853
ENSMUSG00000090724	RIKEN cDNA 4930542C12 gene [Source:MGI Symbol;Acc:MGI:1914898]	4930542C12Rik
ENSMUSG00000049246	heat shock protein 1 (chaperonin 10), pseudogene 2 [Source:MGI Symbol;Acc:MGI:1935162]	Hspe1-ps2
ENSMUSG00000030603	proteasome (prosome, macropain) 26S subunit, ATPase, 4 [Source:MGI Symbol;Acc:MGI:1346093]	Psmc4
ENSMUSG00000022594	Ly6/neurotoxin 1 [Source:MGI Symbol;Acc:MGI:1345180]	Lynx1
ENSMUSG00000091587	predicted gene 17191 [Source:MGI Symbol;Acc:MGI:4938018]	Gm17191
ENSMUSG00000070291	DEAD (Asp-Glu-Ala-Asp) box polypeptide 43 [Source:MGI Symbol;Acc:MGI:3642857]	Ddx43
ENSMUSG00000091947	RIKEN cDNA 6530401F13 gene [Source:MGI Symbol;Acc:MGI:1923491]	6530401F13Rik
ENSMUSG00000093681	vomeronasal 2, receptor, pseudogene 52 [Source:MGI Symbol;Acc:MGI:3757932]	Vmn2r-ps52
ENSMUSG00000090244	predicted gene 16572 [Source:MGI Symbol;Acc:MGI:4414992]	Gm16572
ENSMUSG00000027088	phosphatase, orphan 2 [Source:MGI Symbol;Acc:MGI:1920623]	Phospho2
ENSMUSG00000093766	predicted gene 20679 [Source:MGI Symbol;Acc:MGI:5313126]	Gm20679
ENSMUSG00000089806	predicted gene 16570 [Source:MGI Symbol;Acc:MGI:4414990]	Gm16570
ENSMUSG00000034634	lymphocyte antigen 6 complex, locus D [Source:MGI Symbol;Acc:MGI:96881]	Ly6d
ENSMUSG00000091668	predicted gene 8358 [Source:MGI Symbol;Acc:MGI:3648202]	Gm8358
ENSMUSG00000055547	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative) [Source:MGI Symbol;Acc:MGI:1918531]	Apobec4
ENSMUSG00000093781	vomeronasal 1 receptor, pseudogene 47 [Source:MGI Symbol;Acc:MGI:3648882]	Vmn1r-ps47
ENSMUSG00000031879	family with sequence similarity 96, member B [Source:MGI Symbol;Acc:MGI:1915773]	Fam96b
ENSMUSG00000093487	vomeronasal 1 receptor, pseudogene 48 [Source:MGI Symbol;Acc:MGI:3648881]	Vmn1r-ps48
ENSMUSG00000022129	dopachrome tautomerase [Source:MGI Symbol;Acc:MGI:102563]	Dct
ENSMUSG00000030699	T-box 6 [Source:MGI Symbol;Acc:MGI:102539]	Tbx6
ENSMUSG00000034122	NLR family, pyrin domain containing 4D [Source:MGI Symbol;Acc:MGI:3056574]	Nlrp4d
ENSMUSG00000022438	parvin, beta [Source:MGI Symbol;Acc:MGI:2153063]	Parvb
ENSMUSG00000040502	membrane-associated ring finger (C3HC4) 9 [Source:MGI Symbol;Acc:MGI:2446144]	March9
ENSMUSG00000086912	RIKEN cDNA 4930505O20 gene [Source:MGI Symbol;Acc:MGI:1921959]	4930505O20Rik
ENSMUSG00000043670	DIRAS family, GTP-binding RAS-like 1 [Source:MGI Symbol;Acc:MGI:2183442]	Diras1
ENSMUSG00000089859	predicted gene 13769 [Source:MGI Symbol;Acc:MGI:3710598]	Gm13769
ENSMUSG00000098001		
ENSMUSG00000044678	lymphocyte antigen 6 complex, locus K [Source:MGI Symbol;Acc:MGI:1923736]	Ly6k
ENSMUSG00000008475	actin related protein 2/3 complex, subunit 5 [Source:MGI Symbol;Acc:MGI:1915021]	Arpc5
ENSMUSG00000050966	lin-28 homolog A (C. elegans) [Source:MGI Symbol;Acc:MGI:1890546]	Lin28a
ENSMUSG00000039951	WAP four-disulfide core domain 3 [Source:MGI Symbol;Acc:MGI:1923897]	Wfdc3
ENSMUSG00000098223		
ENSMUSG00000025332	lysine (K)-specific demethylase 5C [Source:MGI Symbol;Acc:MGI:99781]	Kdm5c
